Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
23,tt0769066,2020-08-02,2020-08-02,,"Doctor Who: The Screaming Jungle","Doctor Who: The Screaming Jungle",https://www.imdb.com/title/tt0769066/,TV Episode,6.9,24,1964,"Adventure, Drama, Family, Sci-Fi",939,1964-04-25,"John Gorrie",,
24,tt0809984,2020-08-02,2020-08-02,,"Doctor Who: The Snows of Terror","Doctor Who: The Snows of Terror",https://www.imdb.com/title/tt0809984/,TV Episode,6.7,25,1964,"Adventure, Drama, Family, Sci-Fi",927,1964-05-02,"John Gorrie",,
25,tt0809983,2020-08-02,2020-08-02,,"Doctor Who: Sentence of Death","Doctor Who: Sentence of Death",https://www.imdb.com/title/tt0809983/,TV Episode,7.1,25,1964,"Adventure, Drama, Family, Sci-Fi",907,1964-05-09,"John Gorrie",,
26,tt0829417,2020-08-02,2020-08-02,,"Doctor Who: The Keys of Marinus","Doctor Who: The Keys of Marinus",https://www.imdb.com/title/tt0829417/,TV Episode,7.1,25,1964,"Adventure, Drama, Family, Sci-Fi",943,1964-05-16,"John Gorrie",,
27,tt0562894,2020-08-02,2020-08-02,,"Doctor Who: The Temple of Evil","Doctor Who: The Temple of Evil",https://www.imdb.com/title/tt0562894/,TV Episode,7.3,24,1964,"Adventure, Drama, Family, Sci-Fi",1158,1964-05-23,"John Crockett",,
28,tt0805215,2020-08-02,2020-08-02,,"Doctor Who: The Warriors of Death","Doctor Who: The Warriors of Death",https://www.imdb.com/title/tt0805215/,TV Episode,7.3,24,1964,"Adventure, Drama, Family, Sci-Fi",1036,1964-05-30,"John Crockett",,
29,tt0769061,2020-08-02,2020-08-02,,"Doctor Who: The Bride of Sacrifice","Doctor Who: The Bride of Sacrifice",https://www.imdb.com/title/tt0769061/,TV Episode,7.4,25,1964,"Adventure, Drama, Family, Sci-Fi",1020,1964-06-06,"John Crockett",,
30,tt0830292,2020-08-02,2020-08-02,,"Doctor Who: The Day of Darkness","Doctor Who: The Day of Darkness",https://www.imdb.com/title/tt0830292/,TV Episode,7.5,25,1964,"Adventure, Drama, Family, Sci-Fi",1009,1964-06-13,"John Crockett",,
31,tt0562953,2020-08-02,2020-08-02,,"Doctor Who: Strangers in Space","Doctor Who: Strangers in Space",https://www.imdb.com/title/tt0562953/,TV Episode,6.9,25,1964,"Adventure, Drama, Family, Sci-Fi",870,1964-06-20,"Mervyn Pinfield",,
32,tt0809985,2020-08-02,2020-08-02,,"Doctor Who: The Unwilling Warriors","Doctor Who: The Unwilling Warriors",https://www.imdb.com/title/tt0809985/,TV Episode,6.7,25,1964,"Adventure, Drama, Family, Sci-Fi",816,1964-06-27,"Mervyn Pinfield",,
33,tt0769057,2020-08-02,2020-08-02,,"Doctor Who: Hidden Danger","Doctor Who: Hidden Danger",https://www.imdb.com/title/tt0769057/,TV Episode,6.6,25,1964,"Adventure, Drama, Family, Sci-Fi",804,1964-07-11,"Mervyn Pinfield",,
34,tt0809980,2020-08-02,2020-08-02,,"Doctor Who: A Race Against Death","Doctor Who: A Race Against Death",https://www.imdb.com/title/tt0809980/,TV Episode,6.6,25,1964,"Adventure, Drama, Family, Sci-Fi",799,1964-07-18,"Mervyn Pinfield",,
35,tt0769058,2020-08-02,2020-08-02,,"Doctor Who: Kidnap","Doctor Who: Kidnap",https://www.imdb.com/title/tt0769058/,TV Episode,6.5,26,1964,"Adventure, Drama, Family, Sci-Fi",794,1964-07-25,"Frank Cox",,
36,tt0769055,2020-08-02,2020-08-02,,"Doctor Who: A Desperate Venture","Doctor Who: A Desperate Venture",https://www.imdb.com/title/tt0769055/,TV Episode,6.5,24,1964,"Adventure, Drama, Family, Sci-Fi",791,1964-08-01,"Frank Cox",,
37,tt0562944,2020-08-02,2020-08-02,,"Doctor Who: A Land of Fear","Doctor Who: A Land of Fear",https://www.imdb.com/title/tt0562944/,TV Episode,6.9,24,1964,"Adventure, Drama, Family, Sci-Fi",716,1964-08-08,"Henric Hirsch",,
38,tt0769056,2020-08-02,2020-08-02,,"Doctor Who: Guests of Madame Guillotine","Doctor Who: Guests of Madame Guillotine",https://www.imdb.com/title/tt0769056/,TV Episode,6.7,24,1964,"Adventure, Drama, Family, Sci-Fi",662,1964-08-15,"Henric Hirsch",,
39,tt0785282,2020-08-02,2020-08-02,,"Doctor Who: A Change of Identity","Doctor Who: A Change of Identity",https://www.imdb.com/title/tt0785282/,TV Episode,6.6,25,1964,"Adventure, Drama, Family, Sci-Fi",648,1964-08-22,"Henric Hirsch, John Gorrie",,
40,tt0785310,2020-08-02,2020-08-02,,"Doctor Who: The Tyrant of France","Doctor Who: The Tyrant of France",https://www.imdb.com/title/tt0785310/,TV Episode,6.4,25,1964,"Adventure, Drama, Family, Sci-Fi",635,1964-08-29,"Henric Hirsch",,
41,tt0769054,2020-08-02,2020-08-02,,"Doctor Who: A Bargain of Necessity","Doctor Who: A Bargain of Necessity",https://www.imdb.com/title/tt0769054/,TV Episode,6.5,24,1964,"Adventure, Drama, Family, Sci-Fi",624,1964-09-05,"Henric Hirsch",,
42,tt0769060,2020-08-02,2020-08-02,,"Doctor Who: Prisoners of Conciergerie","Doctor Who: Prisoners of Conciergerie",https://www.imdb.com/title/tt0769060/,TV Episode,6.7,25,1964,"Adventure, Drama, Family, Sci-Fi",641,1964-09-12,"Henric Hirsch, Timothy Combe",,
43,tt0562867,2020-08-02,2020-08-02,,"Doctor Who: Planet of Giants","Doctor Who: Planet of Giants",https://www.imdb.com/title/tt0562867/,TV Episode,7.0,23,1964,"Adventure, Drama, Family, Sci-Fi",891,1964-10-31,"Mervyn Pinfield",,
44,tt0776941,2020-08-02,2020-08-02,,"Doctor Who: Dangerous Journey","Doctor Who: Dangerous Journey",https://www.imdb.com/title/tt0776941/,TV Episode,6.9,24,1964,"Adventure, Drama, Family, Sci-Fi",809,1964-11-07,"Mervyn Pinfield",,
45,tt0776940,2020-08-02,2020-08-02,,"Doctor Who: Crisis","Doctor Who: Crisis",https://www.imdb.com/title/tt0776940/,TV Episode,6.7,27,1964,"Adventure, Drama, Family, Sci-Fi",795,1964-11-14,"Douglas Camfield, Mervyn Pinfield",,
46,tt0562904,2020-08-02,2020-08-02,,"Doctor Who: World's End","Doctor Who: World's End",https://www.imdb.com/title/tt0562904/,TV Episode,8.0,24,1964,"Adventure, Drama, Family, Sci-Fi",1025,1964-11-21,"Richard Martin",,
47,tt0776951,2020-08-02,2020-08-02,,"Doctor Who: The Daleks","Doctor Who: The Daleks",https://www.imdb.com/title/tt0776951/,TV Episode,7.9,24,1964,"Adventure, Drama, Family, Sci-Fi",981,1964-11-28,"Richard Martin",,
48,tt0776942,2020-08-02,2020-08-02,,"Doctor Who: Day of Reckoning","Doctor Who: Day of Reckoning",https://www.imdb.com/title/tt0776942/,TV Episode,7.9,27,1964,"Adventure, Drama, Family, Sci-Fi",918,1964-12-05,"Richard Martin",,
49,tt0776955,2020-08-02,2020-08-02,,"Doctor Who: The End of Tomorrow","Doctor Who: The End of Tomorrow",https://www.imdb.com/title/tt0776955/,TV Episode,7.6,23,1964,"Adventure, Drama, Family, Sci-Fi",897,1964-12-12,"Richard Martin",,
50,tt0776961,2020-08-02,2020-08-02,,"Doctor Who: The Waking Ally","Doctor Who: The Waking Ally",https://www.imdb.com/title/tt0776961/,TV Episode,7.7,25,1964,"Adventure, Drama, Family, Sci-Fi",897,1964-12-19,"Richard Martin",,
51,tt0776945,2020-08-02,2020-08-02,,"Doctor Who: Flashpoint","Doctor Who: Flashpoint",https://www.imdb.com/title/tt0776945/,TV Episode,8.3,26,1964,"Adventure, Drama, Family, Sci-Fi",947,1964-12-26,"Richard Martin",,
52,tt0562945,2020-08-02,2020-08-02,,"Doctor Who: The Powerful Enemy","Doctor Who: The Powerful Enemy",https://www.imdb.com/title/tt0562945/,TV Episode,7.1,26,1965,"Adventure, Drama, Family, Sci-Fi",840,1965-01-02,"Christopher Barry",,
53,tt0776943,2020-08-02,2020-08-02,,"Doctor Who: Desperate Measures","Doctor Who: Desperate Measures",https://www.imdb.com/title/tt0776943/,TV Episode,7.3,25,1965,"Adventure, Drama, Family, Sci-Fi",786,1965-01-09,"Christopher Barry",,
54,tt0562948,2020-08-02,2020-08-02,,"Doctor Who: The Slave Traders","Doctor Who: The Slave Traders",https://www.imdb.com/title/tt0562948/,TV Episode,7.2,24,1965,"Adventure, Drama, Family, Sci-Fi",817,1965-01-16,"Christopher Barry",,
55,tt0776936,2020-08-02,2020-08-02,,"Doctor Who: All Roads Lead to Rome","Doctor Who: All Roads Lead to Rome",https://www.imdb.com/title/tt0776936/,TV Episode,7.3,23,1965,"Adventure, Drama, Family, Sci-Fi",765,1965-01-23,"Christopher Barry",,
56,tt0776938,2020-08-02,2020-08-02,,"Doctor Who: Conspiracy","Doctor Who: Conspiracy",https://www.imdb.com/title/tt0776938/,TV Episode,7.2,25,1965,"Adventure, Drama, Family, Sci-Fi",764,1965-01-30,"Christopher Barry",,
57,tt0776947,2020-08-02,2020-08-02,,"Doctor Who: Inferno","Doctor Who: Inferno",https://www.imdb.com/title/tt0776947/,TV Episode,7.5,23,1965,"Adventure, Drama, Family, Sci-Fi",767,1965-02-06,"Christopher Barry",,
58,tt0562975,2020-08-02,2020-08-02,,"Doctor Who: The Web Planet","Doctor Who: The Web Planet",https://www.imdb.com/title/tt0562975/,TV Episode,6.3,24,1965,"Adventure, Drama, Family, Sci-Fi",834,1965-02-13,"Richard Martin",,
59,tt0776964,2020-08-02,2020-08-02,,"Doctor Who: The Zarbi","Doctor Who: The Zarbi",https://www.imdb.com/title/tt0776964/,TV Episode,5.8,23,1965,"Adventure, Drama, Family, Sci-Fi",747,1965-02-20,"Richard Martin",,
60,tt0776944,2020-08-02,2020-08-02,,"Doctor Who: Escape to Danger","Doctor Who: Escape to Danger",https://www.imdb.com/title/tt0776944/,TV Episode,5.7,23,1965,"Adventure, Drama, Family, Sci-Fi",725,1965-02-27,"Richard Martin",,
61,tt0776939,2020-08-02,2020-08-02,,"Doctor Who: Crater of Needles","Doctor Who: Crater of Needles",https://www.imdb.com/title/tt0776939/,TV Episode,5.6,26,1965,"Adventure, Drama, Family, Sci-Fi",727,1965-03-06,"Richard Martin",,
62,tt0776948,2020-08-02,2020-08-02,,"Doctor Who: Invasion","Doctor Who: Invasion",https://www.imdb.com/title/tt0776948/,TV Episode,5.6,26,1965,"Adventure, Drama, Family, Sci-Fi",716,1965-03-13,"Richard Martin",,
63,tt0776950,2020-08-02,2020-08-02,,"Doctor Who: The Centre","Doctor Who: The Centre",https://www.imdb.com/title/tt0776950/,TV Episode,5.5,24,1965,"Adventure, Drama, Family, Sci-Fi",714,1965-03-20,"Richard Martin",,
64,tt0562901,2020-08-02,2020-08-02,,"Doctor Who: The Lion","Doctor Who: The Lion",https://www.imdb.com/title/tt0562901/,TV Episode,7.0,25,1965,"Adventure, Drama, Family, Sci-Fi",596,1965-03-27,"Douglas Camfield",,
65,tt0776957,2020-08-02,2020-08-02,,"Doctor Who: The Knight of Jaffa","Doctor Who: The Knight of Jaffa",https://www.imdb.com/title/tt0776957/,TV Episode,6.6,23,1965,"Adventure, Drama, Family, Sci-Fi",502,1965-04-03,"Douglas Camfield",,
66,tt0776963,2020-08-02,2020-08-02,,"Doctor Who: The Wheel of Fortune","Doctor Who: The Wheel of Fortune",https://www.imdb.com/title/tt0776963/,TV Episode,7.0,25,1965,"Adventure, Drama, Family, Sci-Fi",557,1965-04-10,"Douglas Camfield",,
67,tt0776962,2020-08-02,2020-08-02,,"Doctor Who: The Warlords","Doctor Who: The Warlords",https://www.imdb.com/title/tt0776962/,TV Episode,6.7,24,1965,"Adventure, Drama, Family, Sci-Fi",490,1965-04-17,"Douglas Camfield",,
68,tt0562957,2020-08-02,2020-08-02,,"Doctor Who: The Space Museum","Doctor Who: The Space Museum",https://www.imdb.com/title/tt0562957/,TV Episode,7.8,24,1965,"Adventure, Drama, Family, Sci-Fi",795,1965-04-24,"Mervyn Pinfield",,
69,tt0776954,2020-08-02,2020-08-02,,"Doctor Who: The Dimensions of Time","Doctor Who: The Dimensions of Time",https://www.imdb.com/title/tt0776954/,TV Episode,7.0,22,1965,"Adventure, Drama, Family, Sci-Fi",709,1965-05-01,"Mervyn Pinfield",,
70,tt0776960,2020-08-02,2020-08-02,,"Doctor Who: The Search","Doctor Who: The Search",https://www.imdb.com/title/tt0776960/,TV Episode,6.7,24,1965,"Adventure, Drama, Family, Sci-Fi",702,1965-05-08,"Mervyn Pinfield",,
71,tt0776956,2020-08-02,2020-08-02,,"Doctor Who: The Final Phase","Doctor Who: The Final Phase",https://www.imdb.com/title/tt0776956/,TV Episode,6.7,22,1965,"Adventure, Drama, Family, Sci-Fi",709,1965-05-15,"Mervyn Pinfield",,
72,tt0562898,2020-08-02,2020-08-02,,"Doctor Who: The Executioners","Doctor Who: The Executioners",https://www.imdb.com/title/tt0562898/,TV Episode,7.2,25,1965,"Adventure, Drama, Family, Sci-Fi",756,1965-05-22,"Richard Martin",,
73,tt0776953,2020-08-02,2020-08-02,,"Doctor Who: The Death of Time","Doctor Who: The Death of Time",https://www.imdb.com/title/tt0776953/,TV Episode,6.9,24,1965,"Adventure, Drama, Family, Sci-Fi",700,1965-05-29,"Richard Martin",,
74,tt0776946,2020-08-02,2020-08-02,,"Doctor Who: Flight Through Eternity","Doctor Who: Flight Through Eternity",https://www.imdb.com/title/tt0776946/,TV Episode,7.1,25,1965,"Adventure, Drama, Family, Sci-Fi",708,1965-06-05,"Richard Martin",,
75,tt0776949,2020-08-02,2020-08-02,,"Doctor Who: Journey Into Terror","Doctor Who: Journey Into Terror",https://www.imdb.com/title/tt0776949/,TV Episode,6.8,24,1965,"Adventure, Drama, Family, Sci-Fi",699,1965-06-12,"Richard Martin",,
76,tt0776952,2020-08-02,2020-08-02,,"Doctor Who: The Death of Doctor Who","Doctor Who: The Death of Doctor Who",https://www.imdb.com/title/tt0776952/,TV Episode,7.1,23,1965,"Adventure, Drama, Family, Sci-Fi",696,1965-06-19,"Richard Martin",,
77,tt0776959,2020-08-02,2020-08-02,,"Doctor Who: The Planet of Decision","Doctor Who: The Planet of Decision",https://www.imdb.com/title/tt0776959/,TV Episode,7.8,26,1965,"Adventure, Drama, Family, Sci-Fi",715,1965-06-26,"Richard Martin, Douglas Camfield",,
78,tt0562964,2020-08-02,2020-08-02,,"Doctor Who: The Watcher","Doctor Who: The Watcher",https://www.imdb.com/title/tt0562964/,TV Episode,7.7,24,1965,"Adventure, Drama, Family, Sci-Fi",813,1965-07-03,"Douglas Camfield",,
79,tt0776958,2020-08-02,2020-08-02,,"Doctor Who: The Meddling Monk","Doctor Who: The Meddling Monk",https://www.imdb.com/title/tt0776958/,TV Episode,7.4,25,1965,"Adventure, Drama, Family, Sci-Fi",773,1965-07-10,"Douglas Camfield",,
80,tt0776935,2020-08-02,2020-08-02,,"Doctor Who: A Battle of Wits","Doctor Who: A Battle of Wits",https://www.imdb.com/title/tt0776935/,TV Episode,7.7,24,1965,"Adventure, Drama, Family, Sci-Fi",749,1965-07-17,"Douglas Camfield",,
81,tt0776937,2020-08-02,2020-08-02,,"Doctor Who: Checkmate","Doctor Who: Checkmate",https://www.imdb.com/title/tt0776937/,TV Episode,8.1,24,1965,"Adventure, Drama, Family, Sci-Fi",768,1965-07-24,"Douglas Camfield",,
82,tt0562849,2020-08-02,2020-08-02,,"Doctor Who: Four Hundred Dawns","Doctor Who: Four Hundred Dawns",https://www.imdb.com/title/tt0562849/,TV Episode,6.4,23,1965,"Adventure, Drama, Family, Sci-Fi",550,1965-09-11,"Derek Martinus",,
83,tt0785311,2020-08-02,2020-08-02,,"Doctor Who: Trap of Steel","Doctor Who: Trap of Steel",https://www.imdb.com/title/tt0785311/,TV Episode,6.3,25,1965,"Adventure, Drama, Family, Sci-Fi",515,1965-09-18,"Derek Martinus",,
84,tt0785283,2020-08-02,2020-08-02,,"Doctor Who: Air Lock","Doctor Who: Air Lock",https://www.imdb.com/title/tt0785283/,TV Episode,6.6,24,1965,"Adventure, Drama, Family, Sci-Fi",535,1965-09-25,"Derek Martinus",,
85,tt0785301,2020-08-02,2020-08-02,,"Doctor Who: The Exploding Planet","Doctor Who: The Exploding Planet",https://www.imdb.com/title/tt0785301/,TV Episode,6.5,25,1965,"Adventure, Drama, Family, Sci-Fi",512,1965-10-02,"Derek Martinus",,
86,tt0562862,2020-08-02,2020-08-02,,"Doctor Who: Mission to the Unknown","Doctor Who: Mission to the Unknown",https://www.imdb.com/title/tt0562862/,TV Episode,7.0,25,1965,"Adventure, Drama, Family, Sci-Fi",478,1965-10-09,"Derek Martinus",,
87,tt0562940,2020-08-02,2020-08-02,,"Doctor Who: Temple of Secrets","Doctor Who: Temple of Secrets",https://www.imdb.com/title/tt0562940/,TV Episode,6.9,25,1965,"Adventure, Drama, Family, Sci-Fi",422,1965-10-16,"Michael Leeston-Smith",,
88,tt0785297,2020-08-02,2020-08-02,,"Doctor Who: Small Prophet, Quick Return","Doctor Who: Small Prophet, Quick Return",https://www.imdb.com/title/tt0785297/,TV Episode,6.9,25,1965,"Adventure, Drama, Family, Sci-Fi",406,1965-10-23,"Michael Leeston-Smith",,
89,tt0785288,2020-08-02,2020-08-02,,"Doctor Who: Death of a Spy","Doctor Who: Death of a Spy",https://www.imdb.com/title/tt0785288/,TV Episode,7.0,26,1965,"Adventure, Drama, Family, Sci-Fi",404,1965-10-30,"Michael Leeston-Smith",,
90,tt0785294,2020-08-02,2020-08-02,,"Doctor Who: Horse of Destruction","Doctor Who: Horse of Destruction",https://www.imdb.com/title/tt0785294/,TV Episode,7.2,25,1965,"Adventure, Drama, Family, Sci-Fi",405,1965-11-06,"Michael Leeston-Smith",,
91,tt0562906,2020-08-02,2020-08-02,,"Doctor Who: The Nightmare Begins","Doctor Who: The Nightmare Begins",https://www.imdb.com/title/tt0562906/,TV Episode,7.9,23,1965,"Adventure, Drama, Family, Sci-Fi",493,1965-11-13,"Douglas Camfield",,
92,tt0785287,2020-08-02,2020-08-02,,"Doctor Who: Day of Armageddon","Doctor Who: Day of Armageddon",https://www.imdb.com/title/tt0785287/,TV Episode,7.8,24,1965,"Adventure, Drama, Family, Sci-Fi",525,1965-11-20,"Douglas Camfield",,
93,tt0785290,2020-08-02,2020-08-02,,"Doctor Who: Devil's Planet","Doctor Who: Devil's Planet",https://www.imdb.com/title/tt0785290/,TV Episode,7.6,25,1965,"Adventure, Drama, Family, Sci-Fi",460,1965-11-27,"Douglas Camfield",,
94,tt0785309,2020-08-02,2020-08-02,,"Doctor Who: The Traitors","Doctor Who: The Traitors",https://www.imdb.com/title/tt0785309/,TV Episode,8.0,25,1965,"Adventure, Drama, Family, Sci-Fi",446,1965-12-04,"Douglas Camfield",,
95,tt0785286,2020-08-02,2020-08-02,,"Doctor Who: Counter Plot","Doctor Who: Counter Plot",https://www.imdb.com/title/tt0785286/,TV Episode,7.5,24,1965,"Adventure, Drama, Family, Sci-Fi",501,1965-12-11,"Douglas Camfield",,
96,tt0785285,2020-08-02,2020-08-02,,"Doctor Who: Coronas of the Sun","Doctor Who: Coronas of the Sun",https://www.imdb.com/title/tt0785285/,TV Episode,7.7,25,1965,"Adventure, Drama, Family, Sci-Fi",427,1965-12-18,"Douglas Camfield",,
97,tt0785302,2020-08-02,2020-08-02,,"Doctor Who: The Feast of Steven","Doctor Who: The Feast of Steven",https://www.imdb.com/title/tt0785302/,TV Episode,6.4,25,1965,"Adventure, Drama, Family, Sci-Fi",434,1965-12-25,"Douglas Camfield",,
98,tt0785312,2020-08-02,2020-08-02,,"Doctor Who: Volcano","Doctor Who: Volcano",https://www.imdb.com/title/tt0785312/,TV Episode,7.4,25,1966,"Adventure, Drama, Family, Sci-Fi",423,1966-01-01,"Douglas Camfield",,
99,tt0785293,2020-08-02,2020-08-02,,"Doctor Who: Golden Death","Doctor Who: Golden Death",https://www.imdb.com/title/tt0785293/,TV Episode,7.4,25,1966,"Adventure, Drama, Family, Sci-Fi",426,1966-01-08,"Douglas Camfield",,
100,tt0785292,2020-08-02,2020-08-02,,"Doctor Who: Escape Switch","Doctor Who: Escape Switch",https://www.imdb.com/title/tt0785292/,TV Episode,7.5,24,1966,"Adventure, Drama, Family, Sci-Fi",488,1966-01-15,"Douglas Camfield",,
101,tt0785298,2020-08-02,2020-08-02,,"Doctor Who: The Abandoned Planet","Doctor Who: The Abandoned Planet",https://www.imdb.com/title/tt0785298/,TV Episode,7.7,25,1966,"Adventure, Drama, Family, Sci-Fi",422,1966-01-22,"Douglas Camfield",,
102,tt0785289,2020-08-02,2020-08-02,,"Doctor Who: Destruction of Time","Doctor Who: Destruction of Time",https://www.imdb.com/title/tt0785289/,TV Episode,8.5,24,1966,"Adventure, Drama, Family, Sci-Fi",477,1966-01-29,"Douglas Camfield",,
103,tt0562933,2020-08-02,2020-08-02,,"Doctor Who: War of God","Doctor Who: War of God",https://www.imdb.com/title/tt0562933/,TV Episode,7.1,25,1966,"Adventure, Drama, Family, Sci-Fi",401,1966-02-05,"Paddy Russell",,
104,tt0785308,2020-08-02,2020-08-02,,"Doctor Who: The Sea Beggar","Doctor Who: The Sea Beggar",https://www.imdb.com/title/tt0785308/,TV Episode,6.9,25,1966,"Adventure, Drama, Family, Sci-Fi",384,1966-02-12,"Paddy Russell",,
105,tt0785296,2020-08-02,2020-08-02,,"Doctor Who: Priest of Death","Doctor Who: Priest of Death",https://www.imdb.com/title/tt0785296/,TV Episode,6.9,25,1966,"Adventure, Drama, Family, Sci-Fi",386,1966-02-19,"Paddy Russell",,
